multihop	Count the items in a dozen. The element at that position on the periodic table is magnesium. Count the pieces each player starts with in chess. The element at that position on the periodic table is
multihop	Count the items in a dozen. The element at that position on the periodic table is magnesium. Count the cards in one suit of a standard deck. The element at that position on the periodic table is
multihop	Count the items in a dozen. The element at that position on the periodic table is magnesium. Count the hours marked on a standard clock face. The element at that position on the periodic table is
multihop	Count the items in a dozen. The element at that position on the periodic table is magnesium. Count the cards in a standard deck without jokers. The element at that position on the periodic table is
multihop	Fact: The cardinal direction opposite to the one where the sun rises is
multihop	Fact: The direction opposite to the one a helium balloon floats toward is "
multihop	Fact: The direction opposite to the one tree roots grow is "
multihop	Fact: The cardinal direction opposite to where Antarctica lies from the equator is
multihop	Fact: The square of the number whose name rhymes with tree is
multihop	Fact: One more than the number whose name rhymes with hive is
multihop	Fact: Half of the number whose name rhymes with fix is
multihop	Fact: Double the number whose name rhymes with shoe is
multihop	Fact: The continent where the country that built the Taj Mahal is located is
multihop	Fact: The primary language spoken in the country where the Louvre museum is located is
multihop	Fact: The first letter of the month containing Halloween is "
multihop	Fact: The first letter of the month containing Valentine's Day is "
multihop	Fact: The first letter of the name of the world's most populous country is
multihop	Fact: The first letter of the name of the country whose capital is Paris is
multihop	Fact: The first letter of the name of the country that built the Great Wall is
multihop	Fact: The month immediately after the one containing Halloween is
multihop	Fact: The month immediately before the one containing Valentine's Day is "
multihop	Fact: The opposite of the time of day when stars are visible is "
multihop	Fact: The opposite of the time of day when plants photosynthesize is "
multihop	Fact: Written as a Roman numeral, the number of Olympic rings is
multihop	Fact: Written as a Roman numeral, the number of US states is
multihop	Fact: Half the number of hours shown on a standard clock face is
multihop	Fact: Double the number of faces on a standard die is
multihop	Fact: The position in the alphabet of the chemical symbol for hydrogen is
multihop	Fact: The position in the alphabet of the chemical symbol for oxygen is
multihop	Fact: The position in the alphabet of the chemical symbol for carbon is
multihop	Fact: The position in the alphabet of the chemical symbol for nitrogen is
multihop	Fact: The antonym of what an armistice ends is "
multihop	Fact: The antonym of what an obituary announces is "
multihop	Fact: The antonym of how you would describe an airplane's cruising altitude is "
